#,Category,Finding,File:Line,Short-term reward,Long-term reward,Risk if NOT fixed,Risk FROM fixing,Effort,Certainty/Timing
1,SSOT,"Commission rate (15%) hardcoded as a literal in 6 places (computation x3, UI label text x3) instead of one named constant; one spot recomputes instead of reading the stored value","index.html:825-826,2016,4118,2314,2809,3568",Low,Medium,"Low now, grows if commission ever becomes non-uniform","Very low (pure find/replace, same value)",Small (~45 min),Very Likely Soon
2,SSOT,"Two parallel event-status label/order lists (statusMeta() vs the event-sheet's own steps/order arrays) describe the same 5-stage pipeline with different wording","index.html:1271; 3085-3089",Low,Medium,"Medium - a future new/renamed status only gets updated in one place","Low-medium (confirm short labels are deliberate before merging)",Medium (~1-2 hrs),Worth Doing Not Urgent
3,SSOT,"Two different 'artist payout' numbers on the same Financials page can disagree whenever an event has extra charges (balance-only vs balance+charges)","index.html:2286-2292 vs 2793",High,High,"Medium-high - real 'numbers don't match' risk on Financials","Medium - needs a business decision on the correct definition first",Small once decided (~1 hr),Very Likely Soon
4,SSOT,"'Bucket last 6 months + chart against shared max' logic reimplemented independently 3 times","index.html:2262-2266,2337-2343,2797-2802",Low,Medium,Low today (all 3 currently agree),Low (extract one pure helper),Small (~45 min),Worth Doing Not Urgent
5,SSOT,"Block Time event creation hardcodes reminderIntervalDays:5 instead of the shared defaultReminderCadence() helper used everywhere else","index.html:4160",None today,Low,Very low today (latent),Very low (one-line fix),Trivial (~5 min),Very Likely Soon
6,Docs,"CLAUDE.md's deploy instructions (SFTP via deploy/deploy-index.js) don't match reality (GitHub Actions to Pages on push to main); SFTP scripts untouched since initial commit, would fail if run (missing dep, no package.json, no config)","CLAUDE.md:17; .github/workflows/pages.yml; deploy/deploy-index.js",High,High,"High - will mislead a future session that trusts CLAUDE.md literally",None (docs-only),Trivial (~10 min),For Sure Right Now
7,Docs,"Supabase is the app's real live auth provider (magic-link + passkey) but undocumented in INTEGRATIONS.md and SETUP.md's accounts list","INTEGRATIONS.md sec4-5; SETUP.md sec0; index.html:1078-1165",High,High,"Medium-high - could duplicate auth work or misconfigure a security-sensitive area",None (docs-only),Small (~20-30 min),For Sure Right Now
8,Docs,"backend/proxy.js is unconfigured template scaffolding (placeholder ADMIN_EMAILS, verifyIdToken always fails) and is never called by the live app at all (Ask AI is local-only); nothing marks it inert","proxy.js:38-44",Low,Medium,"Medium - could be deployed as-is believing it's functional",None for doc note; large if actually implementing real verification,Trivial for doc note (~10 min),Worth Doing Not Urgent
9,Docs,"proxy.js's own TODO comment references the wrong IdP ('Firebase' pattern) - the real IdP is Supabase","proxy.js:41-42",Low,Low-medium,Medium if/when backend work starts (wrong path taken),None (comment-only),Trivial (~2 min),For Sure Right Now
10,Docs/Config,".env.example is missing SUPABASE_URL / SUPABASE_PUBLISHABLE_KEY even though the real .env needs them for auth to work",".env.example",Medium,Medium,"Medium - fresh clone following SETUP.md ends up with broken auth",None (adds var names only, no secrets),Trivial (~5 min),For Sure Right Now
11,Structure,"supabase/migrations/*.sql describe a materially different/richer schema than the live app (incl. a since-removed project-types concept), with nothing flagging it as forward-looking not live; also contains a reusable artists/admin_users schema not pointed to anywhere","supabase/migrations/0001_initial_schema.sql; 0002_auth_linking.sql",Medium,High,"Medium - future work might redesign schema from scratch, losing existing work",None (docs-only header note + pointer),Trivial (~10 min),For Sure Right Now
12,SSOT,"Vestigial PROJECT_TYPES single-entry lookup array + getProjectType()/buildProjectTasks() plumbing left over from the recent project-types feature removal (already self-commented)","index.html:599-609",Low,Low,Very low (isolated, already documented inline),Low (touches 3 function signatures),Small (~30-45 min),Skip For Now
13,Convention,"ID generation is inconsistent - monotonic counters for some collections, Math.random for others (charges, board cards, tasks, people)","throughout index.html",None,None,Negligible at this scale,"Low, but for zero functional gain",Medium (not recommended),Skip For Now
